"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.ASOC.age_4874955","CONS.ASOC.sex_4874955","CONS.ASOC.distance_4874955","CONS.SOCIAL.age_4874955","CONS.SOCIAL.sex_4874955","CONS.SOCIAL.distance_4874955","OFFs1","OFFs2","OFFASOC.age_4874955","OFFASOC.sex_4874955","OFFASOC.distance_4874955","OFFSOCIAL.age_4874955","OFFSOCIAL.sex_4874955","OFFSOCIAL.distance_4874955","convergence","loglik","Baseline.parameter1","s1","s2","ASOCIALage_4874955","ASOCIALsex_4874955","ASOCIALdistance_4874955","SOCIALage_4874955","SOCIALsex_4874955","SOCIALdistance_4874955","SE.Baseline.parameter1","SEs1","SEs2","SEasocialage_4874955","SEasocialsex_4874955","SEasocialdistance_4874955","SEsocialage_4874955","SEsocialsex_4874955","SEsocialdistance_4874955","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"190",190,"noILVs","1:2","constant",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,550.220228092363,1713872785.46574,8.37919643137538,0.00478133586766057,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1106.44045618473,1107.26804239162,0,1,0.982108851487444
"134",134,"unconstrained","1:2","constant",1,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,TRUE,551.840237032236,1713872785.46574,1.84986990528616,0.00463672193991933,0,0.0832829565861456,0,0,-0.169892971855826,0,NA,NA,NA,0,NA,0,0,NA,0,1113.68047406447,1115.90269628669,8.63465389507201,0.0133354823865099,0.0130968952906463
"84",84,"unconstrained","1:2","constant",1,2,3,4,0,0,5,0,0,0,0,0,0,0,0,0,TRUE,551.340920858751,1713872785.46574,1.22172625057018,0.00505848081491062,-0.291080403124741,0.0843073828499552,0,0,-0.204753690639975,0,NA,NA,NA,NA,NA,0,0,NA,0,1114.6818417175,1117.91261094827,10.6445685566493,0.0048815900692599,0.00479425281635335
"33",33,"unconstrained","1:2","constant",1,2,3,4,0,5,6,0,0,0,0,0,0,0,0,0,TRUE,566.001778136491,1713872785.46574,9.79300068799816,0.00974149885497574,-0.617647765004771,0.087873984164743,0,-1.17913879300888,-0.66908500209769,0,NA,NA,NA,NA,NA,0,NA,NA,0,1146.00355627298,1150.48355627298,43.2155138813612,4.12924255431161e-10,4.05536566252806e-10
"79",79,"unconstrained","1:2","constant",1,2,3,0,0,4,5,0,0,0,0,0,0,0,0,0,TRUE,577.567217010665,1713872785.46574,21.7598889967818,0.00906013136908285,-0.776326404773315,0,0,-1.71545958568227,-0.992638667049271,0,NA,NA,NA,NA,0,0,NA,NA,0,1167.13443402133,1170.3652032521,63.0971608604775,1.98895797646617e-14,1.95337323392398e-14
"73",73,"unconstrained","1:2","constant",1,2,0,3,0,4,5,0,0,0,0,0,0,0,0,0,TRUE,582.428429885253,1713872785.46574,1.96439801328292,0.015819904938666,0,0.0787339502681794,0,-0.721087033697175,-0.251392056143325,0,NA,NA,NA,0,NA,0,NA,NA,0,1176.85685977051,1180.08762900127,72.8195866096532,1.5396701159823e-16,1.51212364927692e-16
"31",31,"unconstrained","1:2","constant",1,2,3,4,0,0,5,6,0,0,0,0,0,0,0,0,TRUE,602.331843946918,1713872785.46574,4.74667942864091,0.0214088814789056,-0.363762750690141,0.181207967030753,0,0,-0.142615472740532,0.743674950180251,NA,NA,NA,NA,NA,0,0,NA,NA,1218.66368789384,1223.14368789384,115.875645502215,6.88530662725359e-26,6.76212058383091e-26
"182",182,"additive","0:1","constant",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,612.446801680952,1713872785.46574,0,0.0227777427051524,0,0.243692292687678,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,1230.8936033619,1231.7211895688,124.453147177179,9.44805608678994e-28,9.27901951218623e-28
"176",176,"additive","1:2","constant",1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,617.302320927816,1713872785.46574,0.314106113989607,0.0239057929090513,0,0.0532846323381531,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,1242.60464185563,1244.0332132842,136.765170892583,2.00364364094452e-30,1.96779615499814e-30
"141",141,"additive","1:2","constant",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,627.242510856398,1713872785.46574,21.1438572746797,0.0233442615142267,-1.66484626588079,0.752257964289094,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,1264.4850217128,1266.70724393502,159.439201543396,2.38900624664554e-35,2.34626418108938e-35
