local_identifier,tag_id,timestamp,dateOnly,ground_speed,individual_id,tag_local_identifier,location_long,location_lat,dist_to_carc,carcID,geometry,rownumber
E38w,1754667312,2024-04-22T09:53:10Z,2024-04-22,0,2322678811,213593,35.0663375854492,30.882049560546903,16.660300715135186,4874955,"c(35.0663375854492, 30.8820495605469)",1
A78w,1264175085,2024-04-22T09:53:51Z,2024-04-22,0,1277954343,202374,35.0663032531738,30.882059097289993,20.069473886058073,4874955,"c(35.0663032531738, 30.88205909729)",2
A22w,1735951127,2024-04-22T09:53:55Z,2024-04-22,0,1768055613,213570,35.0663833618164,30.8821105957031,15.18313462973924,4874955,"c(35.0663833618164, 30.8821105957031)",3
E37w,1732333556,2024-04-22T09:53:58Z,2024-04-22,0,2322675015,213556,35.0669593811035,30.882377624511694,57.87485211462087,4874955,"c(35.0669593811035, 30.8823776245117)",4
A56w,2372200486,2024-04-22T10:06:00Z,2024-04-22,0,1736101420,225181,35.0664901733398,30.882135391235394,12.05716907456489,4874955,"c(35.0664901733398, 30.8821353912354)",5
J06w,1264170958,2024-04-22T10:12:53Z,2024-04-22,0,1277947514,202376,35.0663414001465,30.881986618042,16.76326288869956,4874955,"c(35.0663414001465, 30.881986618042)",6
A05w,1264171631,2024-04-22T10:20:48Z,2024-04-22,0,1265759060,202368,35.0663375854492,30.882059097289993,16.844561139377788,4874955,"c(35.0663375854492, 30.88205909729)",7
T90b,1732332260,2024-04-22T10:21:55Z,2024-04-22,0,1768057663,213563,35.0662612915039,30.8821411132813,26.887960815937046,4874955,"c(35.0662612915039, 30.8821411132813)",8
J39w,2372203002,2024-04-22T10:22:18Z,2024-04-22,0,1265782645,225176,35.0664710998535,30.8820533752441,4.664146548166643,4874955,"c(35.0664710998535, 30.8820533752441)",9
J12w,1264171724,2024-04-22T11:02:06Z,2024-04-22,0,1265760722,202369,35.0663452148438,30.881874084472702,23.228423320857075,4874955,"c(35.0663452148438, 30.8818740844727)",10
T15w,1735941827,2024-04-22T11:11:55Z,2024-04-22,0,1767970797,213590,35.0666961669922,30.881938934326197,20.35853334785221,4874955,"c(35.0666961669922, 30.8819389343262)",11
A73w,2372199447,2024-04-22T11:54:17Z,2024-04-22,0,1769707653,225178,35.0669059753418,30.882062911987298,38.064224202259965,4874955,"c(35.0669059753418, 30.8820629119873)",12
E11w,1735941871,2024-04-22T12:02:53Z,2024-04-22,0,1767991619,213591,35.0668067932129,30.882160186767596,31.943015461949425,4874955,"c(35.0668067932129, 30.8821601867676)",13
