local_identifier,dist_to_carc_daybefore,Nili_id,birth_year,sex,age_in_2024,age_group
A00w,57000.66447704727,armstrong,2013,m,11,02_adult
A01w,7259.536157895355,adam,2020,f,4,01_juv_sub
A03w,27192.875635297463,caine,2016,f,8,02_adult
A05w,22140.21519648966,abel,2016,NA,8,02_adult
A10w,27092.817826962397,hoeman,2003,f,21,02_adult
A16w,27642.35648679289,hasan,2016,f,8,02_adult
A19w,18966.950785433608,dome,2016,f,8,02_adult
A22w,28207.999881439053,cantata,2015,m,9,02_adult
A29w,24417.438982512565,pamela,2007,f,17,02_adult
A31w,23605.651570681555,neufneuf,2021,m,3,01_juv_sub
A32w,26540.790273015133,fiver,2005,NA,19,02_adult
A39w,24870.535961885293,pindus,2021,m,3,01_juv_sub
A52w,17381.029949258547,kaolin,2013,f,11,02_adult
A56w,26657.41520939923,augrabie,2011,m,13,02_adult
A57w,15253.671218632575,kedros,2009,f,15,02_adult
A58w,17113.72941911371,arthur,2020,f,4,01_juv_sub
A73w,29365.6633659801,capara,2016,f,8,02_adult
A75w,60741.56690480536,hippocrates,2007,m,17,02_adult
A78w,34911.263606892295,aliwal,2020,m,4,01_juv_sub
E00w,19993.42588483827,thronos,2021,f,3,01_juv_sub
E01w,28528.75967366525,kyllini,2021,m,3,01_juv_sub
E06w,33896.939969968065,ishay,2018,m,6,02_adult
E11w,38521.037770403156,epsilon,2021,m,3,01_juv_sub
E12w,25925.966639612,echo,2021,m,3,01_juv_sub
E13w,20558.16830282248,erasmus,2021,m,3,01_juv_sub
E15w,22867.764601175426,logan,2003,m,21,02_adult
E16w,28170.188977069327,evermore,2007,f,17,02_adult
E17w,24987.863259510177,estavan,2015,m,9,02_adult
E34w,22471.12987186755,etretat,2006,f,18,02_adult
E37w,20951.89570650682,castor,2022,f,2,01_juv_sub
E38w,56521.43743809612,merak,2022,m,2,01_juv_sub
E41w,29145.957357827763,kanai,2008,m,16,02_adult
E45w,15681.082776684987,jojo,2019,f,5,01_juv_sub
E51w,27721.201093048876,altair,2007,f,17,02_adult
E52w,26360.786802798815,polaris,2022,m,2,01_juv_sub
E54w,21804.200726030842,eridanus,2022,f,2,01_juv_sub
E76w,21616.612613409234,jeff,2010,f,14,02_adult
E79w,28599.872930793612,anadolu,2022,m,2,01_juv_sub
J00w,21912.822828957356,gamad,2019,m,5,01_juv_sub
J06w,31882.51999207971,jog,2017,f,7,02_adult
J11w,27039.386352209924,Jill,2018,m,6,02_adult
J12w,27082.344140767203,kat,2014,f,10,02_adult
J16w,25512.601897820008,henson,2020,m,4,01_juv_sub
J17w,20351.679495826364,hendrix,2020,m,4,01_juv_sub
J34w,28012.704797860002,pinter,2020,f,4,01_juv_sub
J35w,26471.092289595377,noa,2004,f,20,02_adult
J39w,12547.378620476178,hatfield,2020,m,4,01_juv_sub
T13b,6532.394440073692,talkitna,2014,m,10,02_adult
T13w,20187.665512228476,scout,2006,m,18,02_adult
T14w,15206.43218775666,spiegel,2015,m,9,02_adult
T15w,34636.57031024042,faculta,2004,f,20,02_adult
T18w,25688.536749776733,hadav,2011,f,13,02_adult
T25b,23081.53607163589,nevada,2009,f,15,02_adult
T76w,29333.117657913972,phili,2019,m,5,01_juv_sub
T79w,17753.08585172663,galway,2019,f,5,01_juv_sub
T90b,26154.591267443207,root,2015,m,9,02_adult
T99b,26733.454717651646,tzaror,2011,m,13,02_adult
Y26b,33637.91831267999,yomtov,2019,f,5,01_juv_sub
Y27b,27084.794870185284,yoyo,2019,NA,5,01_juv_sub
