"","A01w","A05w","A22w","A29w","A31w","A32w","A39w","A56w","A73w","A75w","A78w","E00w","E01w","E06w","E11w","E17w","E37w","E38w","E51w","E79w","J00w","J06w","J12w","J16w","J17w","J34w","J35w","J39w","T13b","T13w","T15w","T90b","Y26b"
"A01w",0,0.0056298659091401,0.00409528626534205,0.00604972436932483,0.00409452536283157,0.00604316486887929,0.00570506391898047,0.00377265084066324,0.00570387466857128,0.00408258430050646,0.00409400582800588,0.00571099785976715,0.00407828795310195,0.00409727908558122,0.00409431433803618,0.00606101170363445,0.0226778353352551,0.0040947749712004,0.00568136408657828,0.00570352550600308,0.00570481182314796,0.00409511764320021,0.00377427340738665,0.00570281321483506,0.00408469849977841,0.00570373699490571,0.00569275821418121,0.00916274677179269,0.0202948876213931,0.0040776093113489,0.00409859744983464,0.00408384776608956,0.00571188008609253
"A05w",0.0056298659091401,0,0.00545727378848175,0.00499306545568221,0.00545538101635978,0.00499575744653186,0.00482947757574673,0.00320242275886177,0.00482538833004347,0.00544793734380095,0.00545451232246888,0.0048306777583623,0.005415391000089,0.00546259521269837,0.00545403029568695,0.00501287842613003,0.0054763925975646,0.00545502454505349,0.00482420085945934,0.00482866208609241,0.00482956130585481,0.00545648825233279,0.00320306904857577,0.00482087405929964,0.00544115423446715,0.00482815910066283,0.00482100518056042,0.00503086070548403,0.00545133145877455,0.00542764242619949,0.00546597032603137,0.00543887779611839,0.00483743455430257
"A22w",0.00409528626534205,0.00545727378848175,0,0.00368536089206366,0.206841931475652,0.00368634136199023,0.00361685376996949,0.00298561263151316,0.00361515158090785,0.0378350747695366,0.163707616693123,0.00361737990888931,0.0437125718104217,0.12343317665259,0.148285903929949,0.00369319096879453,0.00403011164989995,0.160492374832591,0.00361455991124177,0.00361650828164414,0.00361688731116402,0.266477197299473,0.00298568116933016,0.00361327230158656,0.0512219751790232,0.00361630060312921,0.00361327812268837,0.00399166120954248,0.00404800949625323,0.0411058841131383,0.0967264079071019,0.0503559909208918,0.00362018252064884
"A29w",0.00604972436932483,0.00499306545568221,0.00368536089206366,0,0.00368477637433766,0.0920563067118614,0.0169573450481683,0.00332468092573817,0.0168832806922106,0.00368181401812883,0.00368449386966533,0.0170966731302213,0.00367234421894031,0.00368699046854384,0.00368438679347838,0.054388921115778,0.00611380694687299,0.00368469910160367,0.0164155640627201,0.0169157591110708,0.0169530209251419,0.00368513061230281,0.00332620186241255,0.0168025180244273,0.00368004991488132,0.0169143015309523,0.0166100789777671,0.00512220581676131,0.00589208264954916,0.0036757334460117,0.00368802734346107,0.0036793488194909,0.017193285633482
"A31w",0.00409452536283157,0.00545538101635978,0.206841931475652,0.00368477637433766,0,0.00368575640726494,0.00361630193755283,0.00298541964005672,0.00361460050533213,0.0379716292830095,0.240613549964653,0.00361682780691976,0.0447226208835672,0.106132861836595,0.186228568538572,0.00369260275311707,0.00402938664091496,0.184584393373729,0.00361400924420676,0.00361595661121726,0.00361633546559907,0.234443337633208,0.00298548790288546,0.00361272205936831,0.052128263733488,0.00361574902275587,0.00361272794214806,0.00399101315583808,0.00404728312297178,0.0416554227739209,0.0876697480006122,0.0513014451236724,0.00361962917735595
"A32w",0.00604316486887929,0.00499575744653186,0.00368634136199023,0.0920563067118614,0.00368575640726494,0,0.0170390026168851,0.00332269885995434,0.016957323317563,0.00368281743013862,0.00368547417189633,0.0171767608055579,0.00367331517814478,0.00368797256442638,0.00368536559791095,0.0604792390407618,0.00610625537814817,0.00368567796829433,0.0165007108669721,0.0169967521581505,0.0170350199928915,0.00368611049496706,0.0033242162296835,0.0168681957497513,0.00368103805965161,0.0169941202249281,0.0166829707157154,0.00511721044462259,0.0058853256530927,0.00367672305256759,0.00368901031532931,0.00368033624803046,0.0172875332951991
"A39w",0.00570506391898047,0.00482947757574673,0.00361685376996949,0.0169573450481683,0.00361630193755283,0.0170390026168851,0,0.00328278350191731,0.106542958833681,0.00361394356789722,0.00361604339203574,0.119130068657205,0.00360456579998531,0.00361839908424669,0.00361591821306458,0.0165262695381796,0.00576386509874877,0.00361621015602244,0.0598302409460811,0.241454296760344,0.43516896239204,0.00361662931622722,0.00328429094724494,0.0729567650737484,0.00361203800824314,0.206198685539103,0.0799502998447949,0.00491684995609608,0.0055770349962556,0.00360804230323839,0.0036193795993132,0.00361137270341826,0.0833043142320768
"A56w",0.00377265084066324,0.00320242275886177,0.00298561263151316,0.00332468092573817,0.00298541964005672,0.00332269885995434,0.00328278350191731,0,0.00328350584884997,0.00297721990605996,0.00298519052774296,0.00328400827609412,0.00298123726147371,0.00298603535866945,0.0029855559671326,0.00332272659402414,0.00379874380384655,0.00298570745443679,0.00327797246781158,0.00328259176597574,0.0032826976158788,0.00298565388985773,0.0910761984823983,0.00328437636822423,0.00298055929933224,0.00328277251362629,0.00328173557536479,0.0041113319320305,0.00383929816831993,0.00297778813350247,0.00298634894052059,0.00298037958402297,0.00328254927411184
"A73w",0.00570387466857128,0.00482538833004347,0.00361515158090785,0.0168832806922106,0.00361460050533213,0.016957323317563,0.106542958833681,0.00328350584884997,0,0.00361223480548239,0.00361434211522607,0.102269318679107,0.00360288033317735,0.0036166946059653,0.00361421769551572,0.0164434641491459,0.00576314550863094,0.00361450930914184,0.0564450998567762,0.10985785762622,0.104118045725514,0.00361492760707066,0.00328501556238927,0.100096494075703,0.00361033760111234,0.120810895394636,0.0911885354842504,0.00491687452657289,0.00557639860414252,0.00360634542744277,0.00361767373325199,0.00360967328627556,0.0662219822714134
"A75w",0.00408258430050646,0.00544793734380095,0.0378350747695366,0.00368181401812883,0.0379716292830095,0.00368281743013862,0.00361394356789722,0.00297721990605996,0.00361223480548239,0,0.0383807420876134,0.00361445422680885,0.0361390306287075,0.0376324516883221,0.0373937655382023,0.00368965159558692,0.00401799622298689,0.0372195728849453,0.00361171077367844,0.00361360083357976,0.00361397810586848,0.0376014275560977,0.00297729203507487,0.00361034743504873,0.0516312536927868,0.00361339123080356,0.00361038503148546,0.00397663456358647,0.00403511290947747,0.0542099182501282,0.0373207850827165,0.0509369820098709,0.00361727095015552
