period,period_start,simplex_id,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15
1,2024-05-01 09:56:00,1,A31w,E54w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2024-05-01 09:56:00,2,E12w,E45w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2024-05-01 09:56:00,3,E12w,E45w,E45w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-01 10:16:00,1,A31w,E54w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-01 10:16:00,2,A32w,J11w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-01 10:16:00,3,T18w,T18w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-01 10:36:00,1,T14w,A19w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-01 10:36:00,2,E51w,E13w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-01 10:36:00,3,A00w,A22w,J12w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-01 10:36:00,4,E45w,A56w,E45w,E15w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,1,A29w,J00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,2,A31w,E54w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,3,A58w,A73w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,4,T18w,J00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,5,E00w,J39w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,6,J00w,T18w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,7,A56w,E45w,T99b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,8,E45w,E45w,T76w,J11w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-01 10:56:00,9,E45w,E06w,T76w,J11w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,1,A29w,J00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,2,T99b,T99b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,3,J16w,J16w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,4,J16w,J16w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,5,A52w,T18w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,6,J16w,E00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,7,T76w,J11w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-01 11:16:00,8,T13b,A78w,E00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-01 11:36:00,1,E45w,A52w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-01 11:36:00,2,E12w,A32w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-01 11:36:00,3,A00w,J12w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-01 11:36:00,4,J12w,T15w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-01 11:36:00,5,E12w,A19w,A32w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-01 11:56:00,1,A19w,A19w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-01 11:56:00,2,T14w,A05w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-01 11:56:00,3,T90b,J39w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-05-01 12:16:00,1,E52w,E00w,E79w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-05-01 12:16:00,2,A00w,A05w,T14w,J12w,J12w,A39w,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-01 12:36:00,1,E79w,E37w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-01 12:36:00,2,J16w,E17w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-01 12:36:00,3,E13w,T18w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-01 12:36:00,4,A29w,A52w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-01 12:36:00,5,E37w,E52w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-01 12:36:00,6,A29w,A58w,J16w,A73w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,1,T18w,E12w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,2,A52w,J16w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,3,A52w,A73w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,4,T14w,A05w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,5,T15w,A16w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,6,J39w,A16w,A39w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-01 12:56:00,7,A56w,A57w,E13w,E11w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,1,Y26b,E38w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,2,A29w,E00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,3,A58w,J16w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,4,E52w,E79w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,5,E38w,E52w,Y26b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,6,J12w,A00w,T79w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,7,J12w,J39w,T15w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-01 13:16:00,8,T15w,T79w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-05-01 13:36:00,1,E16w,E00w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-05-01 13:36:00,2,A73w,E16w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-05-01 13:36:00,3,A78w,A78w,J12w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
