"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.988909297855571,0,0,0,0,0,0.949058695463464,0,0,0,0,0,0.985829362412915,0,0,0.892893629381433,0,0,0.789259453071281,0,0.700299312127754,0.880890420172364,0.744304362451658,0.86280290549621,0,0,0,0.776968043297529,0,0
0,0,0,0,0,0.903669724939391,0,0,0,0.708128533326089,0,0.921936605591327,0.92697370913811,0,0.803989579901099,0,0,0.965892060892656,0,0.77143085678108,0,0,0.803979959106073,0.75071874493733,0.937555639306083,0.833048813743517,0,0,0,0.80081566888839
0,0,0.763840356841683,0.911574990721419,0,0,0,0.839227909687907,0.941779737360775,0,0.863744956441224,0,0.990020367782563,0,0,0,0,0,0,0,0,0,0,0.891603017691523,0,0.708569423761219,0,0.712045803666115,0.748417453141883,0.74720746697858
0,0,0,0,0,0,0.923973979661241,0,0.725135227432474,0,0,0,0,0,0.795292841037735,0,0,0.998879220103845,0,0.828644308960065,0.787041727686301,0,0,0,0,0.988329734187573,0,0,0,0
0,0,0,0.722803449025378,0.706667148973793,0,0.732039236230776,0.846898184623569,0.754415177507326,0.820148961851373,0,0.753344758413732,0.87178501766175,0,0,0,0,0.960598297184333,0,0,0,0,0.817028209101409,0,0,0,0,0.945119000039995,0,0
0.792010425822809,0.847024392103776,0,0,0,0.798631272977218,0.739723321516067,0,0,0.931951388949528,0,0,0.752441007643938,0,0.92368404683657,0,0,0,0.785816751420498,0,0,0,0.888047650223598,0,0,0.813711905386299,0,0.997023787116632,0,0
0,0,0,0,0.759534939192235,0,0,0.799586572917178,0,0,0,0,0,0,0,0,0.93920990685001,0,0,0,0,0,0,0,0,0.82033326360397,0,0,0.941393005894497,0.936709369067103
0.972062500659376,0.790585573529825,0,0,0,0.770771817769855,0,0.722995738498867,0.708526996895671,0,0,0,0,0,0.797022307757288,0,0.866816370515153,0,0,0,0,0.826101635349914,0,0,0.868156188167632,0.961612023646012,0.937581131467596,0,0.754623397486284,0.990014252252877
0,0.838463871972635,0,0.824091838207096,0,0.992297024466097,0.801363316131756,0,0.767060720361769,0.843162433011457,0.751387167954817,0,0,0.740240877959877,0,0,0,0,0,0.834434557938948,0,0,0,0.711418228456751,0.761218664469197,0,0,0,0,0
0,0,0,0,0,0.811099534388632,0,0,0,0,0,0,0,0,0.925229186424986,0,0.971240274840966,0.771911789663136,0,0.888513507088646,0.995909322518855,0.935176824219525,0,0,0,0,0,0,0,0
0,0.7994758146815,0,0,0.866338780848309,0,0,0,0.937392980558798,0,0,0,0,0.978481152560562,0.932097896933556,0.83446848904714,0.975091107888147,0,0.993107169400901,0,0,0,0,0,0,0,0,0,0.863821164704859,0
0,0,0,0,0.778653252637014,0.846010283334181,0.714157090056688,0,0,0.836629099678248,0.828355182427913,0,0,0,0,0.913377618649974,0,0.9249472389929,0,0,0,0,0.921286458382383,0,0,0.984934252453968,0.73085102532059,0,0,0
0.772811945760623,0.759701231494546,0.840742326341569,0,0.779099110281095,0,0.868215053807944,0,0,0,0,0,0.854435592889786,0.805791720282286,0,0,0,0,0.82215782138519,0.949330567615107,0.958882615668699,0,0,0,0,0.987120004370809,0.73473862442188,0,0,0.953050290001556
0,0,0,0,0,0,0.701323045184836,0.734399398555979,0.727987584890798,0,0.824246763251722,0,0,0.911352574359626,0,0,0,0,0.830869125667959,0,0.907734567066655,0.917937042191625,0.765873467782512,0,0.794438402634114,0,0,0,0,0
