A117,A122,A127,A129,A130,A133,A137,A139,A140,A143,A145,A149,A212,A219,A220,A222,A224,A226,A227,A229,A235,A236,A237,A238,A239,A240,A242,A243,A247,A248,A249,A256,A338,A344,A347
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9,0,2,21,18,14,0,14,21,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,18,0,1,0,3,43,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,30,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,31,11,1,26,11,2,30,0,2,7,3,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1
30,2,0,5,12,16,26,4,17,25,10,27,20,0,0,0,0,10,0,0,0,7,0,0,8,0,22,0,30,0,0,0,15,0,1
37,5,0,3,15,5,32,2,8,8,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,7,0,0,3,0,0,2
23,5,0,9,0,0,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9,53,0,4,19,23,1,0,17,4,0,48,0,0,0,0,0,9,0,0,0,9,0,0,0,0,8,0,0,0,0,14,0,0,0
22,12,0,5,16,12,46,0,16,21,3,11,3,0,0,0,0,10,0,0,0,12,0,0,4,0,11,0,0,0,0,3,2,0,2
0,9,0,41,5,2,37,0,0,6,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1,2,0,0,1,0,9,0,1,2,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
29,0,0,35,8,3,15,0,16,2,0,9,1,0,0,0,0,5,0,0,0,1,0,0,0,0,8,0,2,0,0,14,0,0,0
42,6,0,0,0,28,19,0,30,46,0,9,0,6,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,12,0,22,7,12,6,0,4,36,2,9,2,0,0,0,0,27,0,2,0,11,0,0,0,0,5,0,4,0,0,1,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,25,19,2,13,0,19,3,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,0,1,0,1,0,0,1,0,0,1
9,0,0,6,9,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
37,1,0,21,19,1,29,2,4,31,0,16,8,0,0,0,0,11,0,0,0,5,0,0,0,0,31,0,0,0,5,12,0,0,0
39,6,0,9,39,6,20,3,1,22,0,6,13,0,0,0,0,11,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0
41,12,0,9,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
30,18,0,22,33,15,40,3,15,1,6,2,12,0,0,0,0,6,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,0
42,10,0,2,20,20,18,0,3,31,0,17,24,1,0,0,0,2,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0
62,0,0,1,10,16,3,0,5,24,0,25,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0
