"V17","V30","V3","V21","V22","V24","V25","V1","V15","V13","V2","V16","V29","V11","V27","V23","V6","V4","V28","V18","V7","V9","V26","V10","V8","V5","V12","V20","V14","V19"
0,0,0,0,0,0,0,0.971055655973032,0,0,0.901171715464443,0.735125501640141,0,0,0,0,0,0,0,0.786527478136122,0.833597430493683,0,0.738141819601879,0.733024261891842,0,0.700614618835971,0,0,0.850645924918354,0
0,0,0.929055972024798,0,0,0,0.761469685705379,0,0,0,0.743334062164649,0,0.882539159618318,0,0,0.817220764933154,0.7154276734218,0,0.935355881927535,0,0,0.919927866430953,0,0,0,0,0,0,0.776896721217781,0
0,0.807390019064769,0.853584753349423,0.934665501350537,0,0,0.817088376265019,0,0,0,0.877995934104547,0.737078914185986,0,0,0,0.892141398740932,0,0,0.841717053204775,0,0,0,0,0.709625954041258,0.940120626939461,0.856437721289694,0,0,0,0
0,0.94828706770204,0.91047868761234,0,0.756028703181073,0,0.824529678095132,0.714508535340428,0,0,0,0,0.90706532378681,0,0,0.723452321020886,0,0,0,0.99113075225614,0.75326554174535,0.859487358480692,0,0,0,0,0,0,0.936329609947279,0
0,0,0.709167925873771,0,0,0,0.764789543580264,0.996612856863067,0.923286543693393,0.930962778162211,0.7459288504906,0,0,0,0,0.959558174479753,0,0,0,0,0.792965770931914,0,0,0,0.841994054848328,0,0,0.839688370702788,0,0.788382103666663
0,0,0.916968236677349,0,0,0,0,0,0,0.989130817120895,0.80907674995251,0.835843143286183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947543668560684,0,0,0,0
0,0,0.901910115499049,0,0,0.842283533420414,0.892852180637419,0,0,0.714160640258342,0.818546326132491,0,0,0,0,0,0,0.756775138666853,0.817444114712998,0,0,0,0,0,0,0,0.734530542045832,0,0.711006782948971,0
0,0,0,0,0,0,0.831079932395369,0,0,0,0,0,0,0.809752512956038,0,0.859696809435263,0,0,0,0.897257283562794,0,0,0,0.833796508377418,0,0,0,0.89539627218619,0,0.843205419601873
0,0.936395255615935,0.824872852535918,0,0,0,0,0,0,0,0.904499290045351,0,0,0,0,0,0,0,0,0.90604409435764,0,0,0,0,0.806541189551353,0.813114545540884,0,0,0,0.889924107585102
0,0.881995817646384,0,0,0.852334445342422,0,0,0,0,0,0,0.744706596946344,0,0,0,0,0,0,0,0,0.990105426637456,0,0.888192123966292,0.764030884485692,0.771732530323789,0,0,0.994090720079839,0,0
0,0.808820900740102,0,0.741198022151366,0,0.793742009205744,0,0,0,0,0,0.924745028372854,0,0,0,0.924019797937945,0,0,0.715455057332292,0.924668381456286,0,0,0,0.943518140353262,0.901331109460443,0,0,0.945073477225378,0,0
0,0,0,0,0.949398912722245,0,0.802315337117761,0,0.86627321713604,0,0,0,0,0.749105305876583,0.739501317497343,0.958944619866088,0,0,0,0,0.703925271052867,0,0,0,0,0.881635409081355,0,0,0,0
0,0,0,0,0.854896242497489,0,0.970494834240526,0,0.868047017836943,0,0.892545744543895,0,0.989378968486562,0.835409552557394,0,0,0,0.911315168021247,0,0,0,0,0,0.818554192781448,0,0.764771067770198,0,0,0,0
0.879632338648662,0,0,0,0,0,0,0.754675026983023,0,0,0.938319087261334,0,0,0.70896031614393,0,0.86814894573763,0.900940360734239,0,0,0,0,0.838381541427225,0.990928991930559,0.841465671779588,0,0,0.963757814373821,0.752259644446895,0.887765484629199,0
0,0,0,0,0,0.858103427803144,0,0,0,0,0,0,0,0,0.791651152307168,0,0,0,0,0.791097503388301,0,0,0,0,0.956828356254846,0,0,0,0.86553584667854,0
0,0,0,0.813231807202101,0,0,0,0,0.74756260891445,0,0.895420984365046,0,0.999248714419082,0,0,0,0,0,0,0,0,0.748011428629979,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.883616687497124,0,0.971029797103256,0,0.845197019167244,0.973661103285849,0,0,0.847206252859905,0,0,0,0,0,0,0.875026802998036,0.749204465653747,0.724333662772551,0,0,0,0
