A117,A122,A127,A129,A130,A133,A137,A139,A140,A143,A145,A149,A212,A219,A220,A222,A224,A226,A227,A229,A235,A236,A237,A238,A239,A240,A242,A243,A247,A248,A249,A256,A338,A344,A347
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,0,2,9,15,13,0,3,4,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,18,0,1,0,3,43,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,30,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,3,5,1,25,0,2,17,0,2,7,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,2,4,16,20,0,15,4,0,20,1,0,0,0,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
29,1,0,3,8,5,18,0,8,3,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,3,0,0,0
23,5,0,9,0,0,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9,53,0,4,19,23,1,0,17,4,0,48,0,0,0,0,0,9,0,0,0,9,0,0,0,0,8,0,0,0,0,14,0,0,0
20,12,0,3,16,10,22,0,14,11,3,9,3,0,0,0,0,6,0,0,0,5,0,0,4,0,11,0,0,0,0,3,0,0,0
0,9,0,41,5,2,37,0,0,6,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
29,0,0,18,8,3,15,0,16,0,0,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0
42,6,0,0,0,28,19,0,30,46,0,9,0,6,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,11,0,20,5,12,5,0,1,19,0,7,2,0,0,0,0,27,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,24,19,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,0,0,6,9,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
29,1,0,21,19,1,28,2,3,15,0,4,8,0,0,0,0,11,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0
39,6,0,9,39,6,20,3,1,22,0,6,13,0,0,0,0,11,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0
41,12,0,9,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
30,18,0,22,33,15,40,3,15,1,6,2,12,0,0,0,0,6,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,0
19,10,0,0,20,20,13,0,1,13,0,13,18,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
62,0,0,1,10,16,3,0,5,24,0,25,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0
