A117,A122,A127,A129,A130,A133,A137,A139,A140,A143,A145,A149,A212,A219,A220,A222,A224,A226,A227,A229,A235,A236,A237,A238,A239,A240,A242,A243,A247,A248,A249,A256,A338,A344,A347
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,0,5,21,34,14,14,15,24,2,4,0,0,0,0,0,30,0,0,0,8,0,0,0,0,23,0,1,0,27,0,0,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,18,0,1,0,3,43,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,30,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,31,11,3,46,11,3,30,0,25,12,3,0,0,2,19,0,0,0,9,0,0,6,0,0,0,2,0,30,1,3,0,1
34,2,0,12,22,30,27,17,20,42,35,27,22,0,0,0,0,14,0,5,0,11,0,0,15,0,22,0,31,0,0,7,19,1,1
37,5,0,3,15,5,32,2,8,8,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,7,0,0,3,0,0,2
23,5,0,9,0,0,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9,53,0,4,19,23,1,0,17,4,0,48,0,0,0,0,0,9,0,0,0,9,0,0,0,0,8,0,0,0,0,14,0,0,0
35,12,0,7,22,17,61,0,16,25,5,11,3,0,0,0,0,10,0,7,0,15,0,0,5,0,12,0,0,0,6,3,2,1,14
0,9,0,41,5,2,37,0,0,6,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1,2,0,0,1,0,9,0,1,2,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
39,0,0,40,8,4,30,0,16,3,0,9,1,0,0,0,0,5,0,0,0,1,0,0,0,0,8,0,2,0,0,14,0,0,0
42,6,0,0,0,28,19,0,30,46,0,9,0,6,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,12,0,22,18,12,6,0,5,56,2,9,2,0,3,0,2,36,0,2,0,12,0,6,2,0,5,0,4,0,0,4,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,26,19,2,13,0,19,4,0,0,0,0,0,0,0,31,0,0,0,21,0,0,9,0,1,0,1,0,1,1,0,0,1
9,0,0,6,9,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
61,1,0,30,19,1,31,2,4,39,7,18,8,0,0,0,0,13,0,0,0,5,0,0,0,0,31,0,0,0,7,13,0,0,0
39,6,0,9,39,6,20,3,1,22,0,6,13,0,0,0,0,11,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0
41,12,0,9,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
30,18,0,22,33,15,40,3,15,1,6,2,12,0,0,0,0,6,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,0
53,11,0,2,21,20,48,0,3,31,1,17,40,1,0,0,0,2,0,0,0,2,0,0,2,0,7,0,2,0,1,1,0,0,0
62,0,0,1,10,16,3,0,5,24,0,25,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0
